event	chip_id	selection_reason	current_workflow_matched	item_id	instrument	coverage_ratio	covers_chip	match_candidate_rank	reference_capture_timestamp	fetch_capture_timestamp	timedelta_hours	reference_fp	fetch_raster_fp	fetch_manifest_fp	match_diagnostics_fp
US-Dakota	RRN_100_44	current_matched	True	20190609_170009_1004	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:00:09.833215+00:00	0.031	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_100_44.tif	/workspace/_outputs/US-Dakota/RRN_100_44/20190609_170009_1004.tif	/workspace/_outputs/US-Dakota/RRN_100_44/20190609_170009_1004.manifest.json	/workspace/_outputs/US-Dakota/RRN_100_44/match_diagnostics.json
US-Dakota	RRN_101_35	current_matched	True	20190609_170004_1004	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:00:04.645910+00:00	0.032	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_101_35.tif	/workspace/_outputs/US-Dakota/RRN_101_35/20190609_170004_1004.tif	/workspace/_outputs/US-Dakota/RRN_101_35/20190609_170004_1004.manifest.json	/workspace/_outputs/US-Dakota/RRN_101_35/match_diagnostics.json
US-Dakota	RRN_14_6	current_matched	True	20190609_170414_0e2f	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:04:14.018193+00:00	0.037	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_14_6.tif	/workspace/_outputs/US-Dakota/RRN_14_6/20190609_170414_0e2f.tif	/workspace/_outputs/US-Dakota/RRN_14_6/20190609_170414_0e2f.manifest.json	/workspace/_outputs/US-Dakota/RRN_14_6/match_diagnostics.json
US-Dakota	RRN_16_49	current_matched	True	20190609_171406_103c	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:14:06.714898+00:00	0.202	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_16_49.tif	/workspace/_outputs/US-Dakota/RRN_16_49/20190609_171406_103c.tif	/workspace/_outputs/US-Dakota/RRN_16_49/20190609_171406_103c.manifest.json	/workspace/_outputs/US-Dakota/RRN_16_49/match_diagnostics.json
US-Dakota	RRN_24_54	current_matched	True	20190609_170051_0e0e	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:00:51.092742+00:00	0.019	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_24_54.tif	/workspace/_outputs/US-Dakota/RRN_24_54/20190609_170051_0e0e.tif	/workspace/_outputs/US-Dakota/RRN_24_54/20190609_170051_0e0e.manifest.json	/workspace/_outputs/US-Dakota/RRN_24_54/match_diagnostics.json
US-Dakota	RRN_33_21	best_unmatched_attempt	False	20190607_171853_11_106f	PS2.SD	1.0		2	2019-06-09T17:02:00	2019-06-07T17:18:53.113819+00:00	47.719	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_33_21.tif	/workspace/_outputs/US-Dakota/RRN_33_21/20190607_171853_11_106f.tif	/workspace/_outputs/US-Dakota/RRN_33_21/20190607_171853_11_106f.manifest.json	/workspace/_outputs/US-Dakota/RRN_33_21/match_diagnostics.json
US-Dakota	RRN_34_29	best_unmatched_attempt	False	20190609_170035_0e0e	PS2	1.0		1	2019-06-09T17:02:00	2019-06-09T17:00:35.559661+00:00	0.023	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_34_29.tif	/workspace/_outputs/US-Dakota/RRN_34_29/20190609_170035_0e0e.tif	/workspace/_outputs/US-Dakota/RRN_34_29/20190609_170035_0e0e.manifest.json	/workspace/_outputs/US-Dakota/RRN_34_29/match_diagnostics.json
US-Dakota	RRN_34_52	best_unmatched_attempt	False	20190609_171755_36_106c	PS2.SD	1.0		1	2019-06-09T17:02:00	2019-06-09T17:17:55.360207+00:00	0.265	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Dakota/PS/RRN_34_52.tif	/workspace/_outputs/US-Dakota/RRN_34_52/20190609_171755_36_106c.tif	/workspace/_outputs/US-Dakota/RRN_34_52/20190609_171755_36_106c.manifest.json	/workspace/_outputs/US-Dakota/RRN_34_52/match_diagnostics.json
US-Kansas	USA_29_9	best_unmatched_attempt	False	20190522_171024_75_106b	PS2.SD	1.0		2	2019-05-22T16:57:00	2019-05-22T17:10:24.756297+00:00	0.224	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Kansas/PS/USA_29_9.tif	/workspace/_outputs/US-Kansas/USA_29_9/20190522_171024_75_106b.tif	/workspace/_outputs/US-Kansas/USA_29_9/20190522_171024_75_106b.manifest.json	/workspace/_outputs/US-Kansas/USA_29_9/match_diagnostics.json
US-Kansas	USA_31_6	best_unmatched_attempt	False	20190522_165720_86_1066	PS2.SD	1.0		1	2019-05-22T16:57:00	2019-05-22T16:57:20.867267+00:00	0.006	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Kansas/PS/USA_31_6.tif	/workspace/_outputs/US-Kansas/USA_31_6/20190522_165720_86_1066.tif	/workspace/_outputs/US-Kansas/USA_31_6/20190522_165720_86_1066.manifest.json	/workspace/_outputs/US-Kansas/USA_31_6/match_diagnostics.json
US-Kansas	USA_33_26	best_unmatched_attempt	False	20190522_171016_33_106b	PS2.SD	1.0		1	2019-05-22T16:57:00	2019-05-22T17:10:16.330464+00:00	0.221	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Kansas/PS/USA_33_26.tif	/workspace/_outputs/US-Kansas/USA_33_26/20190522_171016_33_106b.tif	/workspace/_outputs/US-Kansas/USA_33_26/20190522_171016_33_106b.manifest.json	/workspace/_outputs/US-Kansas/USA_33_26/match_diagnostics.json
US-Nebraska	NEB_47_10	current_matched	True	20170929_163113_1029	PS2	1.0		1	2017-09-29T14:30:00	2017-09-29T16:31:13.199544+00:00	2.02	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Nebraska/PS/NEB_47_10.tif	/workspace/_outputs/US-Nebraska/NEB_47_10/20170929_163113_1029.tif	/workspace/_outputs/US-Nebraska/NEB_47_10/20170929_163113_1029.manifest.json	/workspace/_outputs/US-Nebraska/NEB_47_10/match_diagnostics.json
US-Nebraska	NEB_56_17	current_matched	True	20170929_162945_1001	PS2	1.0		1	2017-09-29T14:30:00	2017-09-29T16:29:45.125893+00:00	1.996	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Nebraska/PS/NEB_56_17.tif	/workspace/_outputs/US-Nebraska/NEB_56_17/20170929_162945_1001.tif	/workspace/_outputs/US-Nebraska/NEB_56_17/20170929_162945_1001.manifest.json	/workspace/_outputs/US-Nebraska/NEB_56_17/match_diagnostics.json
US-Nebraska	NEB_57_20	current_matched	True	20170929_162946_1001	PS2	1.0		1	2017-09-29T14:30:00	2017-09-29T16:29:46.184739+00:00	1.996	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Nebraska/PS/NEB_57_20.tif	/workspace/_outputs/US-Nebraska/NEB_57_20/20170929_162946_1001.tif	/workspace/_outputs/US-Nebraska/NEB_57_20/20170929_162946_1001.manifest.json	/workspace/_outputs/US-Nebraska/NEB_57_20/match_diagnostics.json
US-Nebraska	NEB_79_46	current_matched	True	20170929_162632_0f35	PS2	1.0		1	2017-09-29T14:30:00	2017-09-29T16:26:32.387122+00:00	1.942	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Nebraska/PS/NEB_79_46.tif	/workspace/_outputs/US-Nebraska/NEB_79_46/20170929_162632_0f35.tif	/workspace/_outputs/US-Nebraska/NEB_79_46/20170929_162632_0f35.manifest.json	/workspace/_outputs/US-Nebraska/NEB_79_46/match_diagnostics.json
US-Nebraska	NEB_80_48	current_matched	True	20170929_162633_0f35	PS2	1.0		1	2017-09-29T14:30:00	2017-09-29T16:26:33.429954+00:00	1.943	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Nebraska/PS/NEB_80_48.tif	/workspace/_outputs/US-Nebraska/NEB_80_48/20170929_162633_0f35.tif	/workspace/_outputs/US-Nebraska/NEB_80_48/20170929_162633_0f35.manifest.json	/workspace/_outputs/US-Nebraska/NEB_80_48/match_diagnostics.json
US-Oklahoma	TUL_3_11	current_matched	True	20190530_164904_0f22	PS2	1.0		3	2019-05-31T15:51:00	2019-05-30T16:49:04.789978+00:00	23.032	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Oklahoma/PS/TUL_3_11.tif	/workspace/_outputs/US-Oklahoma/TUL_3_11/20190530_164904_0f22.tif	/workspace/_outputs/US-Oklahoma/TUL_3_11/20190530_164904_0f22.manifest.json	/workspace/_outputs/US-Oklahoma/TUL_3_11/match_diagnostics.json
US-Oklahoma	TUL_5_11	current_matched	True	20190530_164904_0f22	PS2	1.0		2	2019-05-31T15:51:00	2019-05-30T16:49:04.789978+00:00	23.032	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Oklahoma/PS/TUL_5_11.tif	/workspace/_outputs/US-Oklahoma/TUL_5_11/20190530_164904_0f22.tif	/workspace/_outputs/US-Oklahoma/TUL_5_11/20190530_164904_0f22.manifest.json	/workspace/_outputs/US-Oklahoma/TUL_5_11/match_diagnostics.json
US-Oklahoma	TUL_5_13	current_matched	True	20190530_164905_0f22	PS2	1.0		2	2019-05-31T15:51:00	2019-05-30T16:49:05.832786+00:00	23.032	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Oklahoma/PS/TUL_5_13.tif	/workspace/_outputs/US-Oklahoma/TUL_5_13/20190530_164905_0f22.tif	/workspace/_outputs/US-Oklahoma/TUL_5_13/20190530_164905_0f22.manifest.json	/workspace/_outputs/US-Oklahoma/TUL_5_13/match_diagnostics.json
US-Oklahoma	TUL_7_10	current_matched	True	20190530_164903_0f22	PS2	1.0		1	2019-05-31T15:51:00	2019-05-30T16:49:03.747169+00:00	23.032	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Oklahoma/PS/TUL_7_10.tif	/workspace/_outputs/US-Oklahoma/TUL_7_10/20190530_164903_0f22.tif	/workspace/_outputs/US-Oklahoma/TUL_7_10/20190530_164903_0f22.manifest.json	/workspace/_outputs/US-Oklahoma/TUL_7_10/match_diagnostics.json
US-Oklahoma	TUL_8_5	current_matched	True	20190530_164901_0f22	PS2	1.0		1	2019-05-31T15:51:00	2019-05-30T16:49:01.662075+00:00	23.033	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Oklahoma/PS/TUL_8_5.tif	/workspace/_outputs/US-Oklahoma/TUL_8_5/20190530_164901_0f22.tif	/workspace/_outputs/US-Oklahoma/TUL_8_5/20190530_164901_0f22.manifest.json	/workspace/_outputs/US-Oklahoma/TUL_8_5/match_diagnostics.json
US-Texas	HRV_10_19	current_matched	True	20170831_161742_1044	PS2	1.0		2	2017-08-31T04:17:00	2017-08-31T16:17:42.051744+00:00	12.012	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Texas/PS/HRV_10_19.tif	/workspace/_outputs/US-Texas/HRV_10_19/20170831_161742_1044.tif	/workspace/_outputs/US-Texas/HRV_10_19/20170831_161742_1044.manifest.json	/workspace/_outputs/US-Texas/HRV_10_19/match_diagnostics.json
US-Texas	HRV_17_3	current_matched	True	20170831_161733_1044	PS2	1.0		1	2017-08-31T04:17:00	2017-08-31T16:17:33.563560+00:00	12.009	/home/cefect/LS/10_IO/2501_NSFc/zhangFloodPlanet2025/US-Texas/PS/HRV_17_3.tif	/workspace/_outputs/US-Texas/HRV_17_3/20170831_161733_1044.tif	/workspace/_outputs/US-Texas/HRV_17_3/20170831_161733_1044.manifest.json	/workspace/_outputs/US-Texas/HRV_17_3/match_diagnostics.json
